author,board,title,time,pushs,count
orsonplus (奧森普拉斯),Gossiping,Re: [新聞] 蔡英文堅拒「九二共識」、「一國兩制」,Thu Jan  3 13:44:36 2019,"[{'push-tag': '→ ', 'push-ipdatetime': ' 01/03 13:47\n', 'push-content': ': 所以說獨派才是中共最強隊友啊', 'push-userid': 'silentocean'}, {'push-tag': '→ ', 'push-ipdatetime': ' 01/03 13:47\n', 'push-content': ': 看不出獨派真的為台灣好，反而往統一推', 'push-userid': 'silentocean'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 01/03 13:48\n', 'push-content': ': 這時機點糟到我覺得他們是出來反串的，沒有他們就只是其實', 'push-userid': 'Haine'}, {'push-tag': '→ ', 'push-ipdatetime': ' 01/03 13:48\n', 'push-content': ': 蔡英文是女的做得比其他人更好。幹，剩一張嘴的老噁男', 'push-userid': 'Haine'}, {'push-tag': '→ ', 'push-ipdatetime': ' 01/03 13:48\n', 'push-content': ': ＊歧視', 'push-userid': 'Haine'}, {'push-tag': '推 ', 'push-ipdatetime': ' 01/03 13:48\n', 'push-content': ': 蔡英文是統一教母，一心想保護中華民國，維持漸漸統一現', 'push-userid': 'pp9960'}, {'push-tag': '推 ', 'push-ipdatetime': ' 01/03 13:48\n', 'push-content': ': 選柯文哲才能當堂堂正正的中國人', 'push-userid': 'safelyfuck'}, {'push-tag': '→ ', 'push-ipdatetime': ' 01/03 13:49\n', 'push-content': ': 自己不想看 就當沒看到 國民黨明明有出來講', 'push-userid': 'victoryuy'}, {'push-tag': '→ ', 'push-ipdatetime': ' 01/03 13:49\n', 'push-content': ': 狀，反而國民黨一心想吸對岸奶水，去了中國訪問一句中華', 'push-userid': 'pp9960'}, {'push-tag': '→ ', 'push-ipdatetime': ' 01/03 13:50\n', 'push-content': ': 民國都不提', 'push-userid': 'pp9960'}, {'push-tag': '→ ', 'push-ipdatetime': ' 01/03 13:50\n', 'push-content': ': 真是奇怪的二個黨', 'push-userid': 'pp9960'}, {'push-tag': '→ ', 'push-ipdatetime': ' 01/03 13:50\n', 'push-content': ': 抹紅柯文哲不會讓臺灣獨立啦', 'push-userid': 'silentocean'}, {'push-tag': '→ ', 'push-ipdatetime': ' 01/03 13:51\n', 'push-content': ': 昨晚小平哥有出來靠背了啦', 'push-userid': 'LordOfCS'}, {'push-tag': '→ ', 'push-ipdatetime': ' 01/03 13:57\n', 'push-content': ': 馬囧都說話了 不聽不看只顧鬥 這很dpp', 'push-userid': 'u35k6'}]",14
chirex (鐵石哥_不含銅鋰鋅),Gossiping,Re: [新聞] 別怕買不起房？蔡英文：一定為人民解決,Mon Dec 17 09:18:43 2018,"[{'push-tag': '推 ', 'push-ipdatetime': ' 12/17 09:22\n', 'push-content': ': 你講的政府已經在做 但是這跟勞基法一樣概念', 'push-userid': 'seemoon2000'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/17 09:23\n', 'push-content': ': 屋主多數不報稅 你檢舉他就你要再找房子', 'push-userid': 'seemoon2000'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/17 09:23\n', 'push-content': ': 話說現在公宅沒有能讓我住一輩子的', 'push-userid': 'C13H16ClNO'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/17 09:23\n', 'push-content': ': 現在北市府的包租代管房子數量遠遠少於591', 'push-userid': 'seemoon2000'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/17 09:24\n', 'push-content': ': 住一輩子的不就特權嗎?早期國立大學的教授宿舍', 'push-userid': 'olaqe'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/17 09:24\n', 'push-content': ': 為什麼房東有義務要租你一輩子？', 'push-userid': 'PTTJCY'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/17 09:25\n', 'push-content': ': 這一輩子就差不多一些早期國宅使用權50年的意思啦', 'push-userid': 'seemoon2000'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/17 09:25\n', 'push-content': ': 跟日本的房子ㄧ樣大家可以租幾年都行', 'push-userid': 'peter5328'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/17 09:26\n', 'push-content': ': 日本那樣對房客才是最優的..', 'push-userid': 'piece1'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/17 09:27\n', 'push-content': ': i以學新加坡阿 跟政府租99年', 'push-userid': 'g8330330'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/17 09:29\n', 'push-content': ': 當初說那些都是特權啊 怎麼換個角度就變成基本了?', 'push-userid': 'olaqe'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/17 09:31\n', 'push-content': ': 恭喜DPP教育有成囉 就跟反核食一樣', 'push-userid': 'olaqe'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/17 09:39\n', 'push-content': ': 之前50年國宅是有人推說要有買下來的權利 才很多人嘴', 'push-userid': 'seemoon2000'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/17 12:30\n', 'push-content': ': 成立一個新的發薪水的分部來消耗稅金毫無作為', 'push-userid': 'lucdiane'}]",14
mean (真心話),Gossiping,Re: [新聞] 別怕買不起房？蔡英文：一定為人民解決,Mon Dec 17 09:09:37 2018,"[{'push-tag': '→ ', 'push-ipdatetime': ' 12/17 09:11\n', 'push-content': ': 台灣垃圾刁民就是什麼都要政府負責', 'push-userid': 'SungHyun'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/17 09:12\n', 'push-content': ': 他們心目中的好政府  就是不用繳稅  躺在家裡鈔票自動跑', 'push-userid': 'SungHyun'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/17 09:12\n', 'push-content': ': 進口袋', 'push-userid': 'SungHyun'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/17 09:12\n', 'push-content': ': 要搞好經濟，不是搞房子', 'push-userid': 'jma306'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/17 09:12\n', 'push-content': ': 反串給推', 'push-userid': 'kakain'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/17 09:13\n', 'push-content': ': 話說你爺爺是誰', 'push-userid': 'C13H16ClNO'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/17 09:13\n', 'push-content': ': 壓抑房價馬執政後期已經在做', 'push-userid': 'jma306'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/17 09:14\n', 'push-content': ': 爺寶？', 'push-userid': 'stewartqq'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/17 09:18\n', 'push-content': ': 蔣經國推動工業化讓台灣有錢，要環保就沒有錢', 'push-userid': 'wqj3701'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/17 09:19\n', 'push-content': ': 台灣現在有啥工作能打拼一輩子？', 'push-userid': 'azureroki'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/17 09:20\n', 'push-content': ': 一個工作做一輩子是日本觀念吧', 'push-userid': 'ciswww'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/17 09:48\n', 'push-content': ': 很簡單 因為你爺爺如果出生現代 白手起家 你看他還能不', 'push-userid': 'treeeasy'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/17 09:49\n', 'push-content': ': 能買得起房子', 'push-userid': 'treeeasy'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/17 09:50\n', 'push-content': ': 套套又牙起來了', 'push-userid': 'AIronKuma'}]",14
orsonplus (奧森普拉斯),Gossiping,Re: [新聞] 影／避答2020是否支持蔡英文　柯文哲：政壇都隨便講、守,Sun Dec 16 10:16:43 2018,"[{'push-tag': '噓 ', 'push-ipdatetime': ' 12/16 10:17\n', 'push-content': ': 兩岸一家親和拆不掉的大巨蛋怎麼說？', 'push-userid': 'Tahuiyuan'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/16 10:18\n', 'push-content': ': 唉唷這推論不錯哦.筆記2下', 'push-userid': 'mirza'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/16 10:19\n', 'push-content': ': 要選就選阿, 有過囉嗦的', 'push-userid': 'lavida'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/16 10:21\n', 'push-content': ': 大巨蛋是政績，誰喜歡自己家不按圖施工有危險？', 'push-userid': 'dream99'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/16 10:21\n', 'push-content': ': 沒錯，像韓總友宜才是正統白色力量！', 'push-userid': 'kiwifish16'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/16 10:23\n', 'push-content': ': 綠營的高佳瑜這種2面手法的人阿北才不屑', 'push-userid': 'kiwifish16'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/16 10:23\n', 'push-content': ': 樓上加油', 'push-userid': 'HotDogCC'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/16 10:23\n', 'push-content': ': 呸', 'push-userid': 'kiwifish16'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/16 10:26\n', 'push-content': ': 一堆柯粉潑婦罵街文 整天沒事幹', 'push-userid': 'dahanjian'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/16 10:31\n', 'push-content': ': 這篇文只是陳述某些事實，推文也太崩潰了…', 'push-userid': 'dream99'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/16 10:33\n', 'push-content': ': 怎麼不說蚵屁愛吃又愛嫌，要資源還不配合', 'push-userid': 'kiwifish16'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/16 11:07\n', 'push-content': ': 一堆綠共成天打台獨想統治台灣，垃圾', 'push-userid': 'gmlovecat'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/16 13:20\n', 'push-content': ': 廠工真多,幫你補血', 'push-userid': 'SnakeO'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/16 21:26\n', 'push-content': ': 柯不是他說的那樣白到發亮，派人私會遠雄，引人疑竇', 'push-userid': 'lklk3711'}]",14
XDDDDDDDDDD (我笑他人看不穿),Gossiping,Re: [新聞] 「不會急轉彎」　蔡英文重申：推動綠能、,Fri Dec 14 23:42:32 2018,"[{'push-tag': '→ ', 'push-ipdatetime': '07/22 16:41\n', 'push-content': ': chx64的1/2悖論真的很經典呢', 'push-userid': 'yeebon'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/14 23:50\n', 'push-content': ': 馬政府8年的部會首長在換的次數，比蔡總統任期得還', 'push-userid': 'Xtaiwansoul'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/14 23:50\n', 'push-content': ': 來得頻繁，照您的說法，您是否同意馬先生的施政更糟', 'push-userid': 'Xtaiwansoul'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/14 23:52\n', 'push-content': ': 只有柯神用人最穩定，都不會鬥來鬥去', 'push-userid': 'guast'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/14 23:53\n', 'push-content': ': 我沒數過馬政府時期所換的人數，不過空心菜現在才2.5', 'push-userid': 'XDDDDDDDDDD'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/14 23:53\n', 'push-content': ': 年，而且下台原因多數是階段性任務完成，是要過水？', 'push-userid': 'XDDDDDDDDDD'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/14 23:56\n', 'push-content': ': 如果您的網路有google可以上的話或許能找到答案，不', 'push-userid': 'Xtaiwansoul'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/14 23:56\n', 'push-content': ': 過這證明了你觀察法的結論是「前幾年都沒觀察」的觀', 'push-userid': 'Xtaiwansoul'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/14 23:56\n', 'push-content': ': 察法，你個人的觀點還真狹隘', 'push-userid': 'Xtaiwansoul'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/15 00:15\n', 'push-content': ': 這也不用跟前一任比阿，不然為何奇美執政兩年就崩盤', 'push-userid': 'XDDDDDDDDDD'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/15 00:19\n', 'push-content': ': 不過我剛剛查了一下，馬八年五個行政院長，蔡三年三', 'push-userid': 'XDDDDDDDDDD'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/15 00:20\n', 'push-content': ': 個，不查還好一查還真的驗證我說的Xddd', 'push-userid': 'XDDDDDDDDDD'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/15 03:13\n', 'push-content': ': 笑死，拖馬出來，可見蔡已經爛到要跟馬比了', 'push-userid': 'good90150'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/15 08:03\n', 'push-content': ': 推菜已經爛到和馬比了，科科', 'push-userid': 'ChallengerII'}]",14
masi (專業酸民),Gossiping,Re: [新聞] 蔡英文親上迴廊談話 拍板機車加裝ABS再議,Tue Dec 11 18:28:19 2018,"[{'push-tag': '→ ', 'push-ipdatetime': ' 12/11 18:28\n', 'push-content': ': 空心菜 屌打 賴功德', 'push-userid': 'rednah'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/11 18:28\n', 'push-content': ': 越看她越無能', 'push-userid': 'mayjan'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/11 18:29\n', 'push-content': ': 他本來ㄧ月就要走人阿', 'push-userid': 'abram'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/11 18:29\n', 'push-content': ': 那是馬英九2015年的政策..否定馬有什麼問題嗎?', 'push-userid': 'processior'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/11 18:29\n', 'push-content': ': 拜託你做一下功課好不好', 'push-userid': 'processior'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/11 18:30\n', 'push-content': ': 又扯馬?今天可以推翻，那先前是在公佈好玩的嗎?', 'push-userid': 'hihimen'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/11 18:31\n', 'push-content': ': 就是馬在2015年定的政策..推翻不對的政策有問題嗎', 'push-userid': 'processior'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/11 18:31\n', 'push-content': ': 拜託做一下功課好不好馬作那麼爛\u3000爛政政推翻剛好', 'push-userid': 'processior'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/11 18:31\n', 'push-content': ': 騎機車都是不怕死的戰士，裝這個幹嘛？', 'push-userid': 'kathypig'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/11 18:32\n', 'push-content': ': 每個人需求不同...要得人可以裝不須硬性啦', 'push-userid': 'processior'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/11 18:33\n', 'push-content': ': 你是不是以為每個人機車都是時速50以上', 'push-userid': 'processior'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/11 18:33\n', 'push-content': ': 馬英九爛政策推翻剛好而已好不好', 'push-userid': 'processior'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/11 18:34\n', 'push-content': ': 不懂為何要否決，你天天在買機車嗎?', 'push-userid': 'danish'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/11 19:02\n', 'push-content': ': 自己去死 不要害人', 'push-userid': 'mastoid'}]",14
obs11122 (小鬼隊長金太妍),Gossiping,Re: [新聞] 台中選後檢討會 蔡英文：吳音寧跟選舉成,Sat Dec  8 19:58:32 2018,"[{'push-tag': '推 ', 'push-ipdatetime': ' 12/08 20:00\n', 'push-content': ': 510表現就是跟韓落差太大，才會被媒體造神成功', 'push-userid': 'Mradult'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/08 20:01\n', 'push-content': ': 不然KMT本來只是沒人想選，送韓去當炮灰的', 'push-userid': 'Mradult'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/08 20:05\n', 'push-content': ': 蔡跟吳到底什麼關係 好奇', 'push-userid': 'dbjdx'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/08 20:06\n', 'push-content': ': 嗯 張家斷掉後又張家撿回來 叫做一世綠', 'push-userid': 'tonyselina'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/08 20:07\n', 'push-content': ': 510不去備詢真的敗筆, 敗掉自己也敗掉民進黨', 'push-userid': 'atpx'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/08 21:03\n', 'push-content': ': 510造就了韓國瑜呀...沒事去打韓國瑜幹嘛咧...', 'push-userid': 'Tiphareth'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/08 21:04\n', 'push-content': ': 把韓國瑜踢走就算了 還找來這種咖當北農經理w', 'push-userid': 'Tiphareth'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/08 21:04\n', 'push-content': ': 結果大家一直比較吳音寧(民進黨) 馬的好像投國民黨還是', 'push-userid': 'Tiphareth'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/08 21:05\n', 'push-content': ': 過得比較好一點耶~ 大家都轉投別人了', 'push-userid': 'Tiphareth'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/08 21:08\n', 'push-content': ': 蔡就愛510這種覺青跟陳吉仲啊 看陳吉仲昨天下鄉的表現', 'push-userid': 'JuanWang'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/08 21:08\n', 'push-content': ': 就知道dpp根本沒想認真幫農民解決問題', 'push-userid': 'JuanWang'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/08 21:08\n', 'push-content': ': 510不是不好 只是放錯位置而已 陳吉仲也是', 'push-userid': 'JuanWang'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/08 21:08\n', 'push-content': ': 蔡英文沒有徹底重組農委會 就表示她還不懂農民的問題', 'push-userid': 'JuanWang'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/20 00:15\n', 'push-content': ': 她這狗東西又再說謊了', 'push-userid': 'mayjan'}]",14
nacy204327 (♥～超可愛✡小南C～♥),Gossiping,Re: [新聞] 香菸狂漲價蔡英文出奇招　推平價「新長,Mon Dec  3 22:32:49 2018,"[{'push-tag': '→ ', 'push-ipdatetime': '06/15 04:23\n', 'push-content': ': 一樓正妹', 'push-userid': 'nacy204327'}, {'push-tag': '→ ', 'push-ipdatetime': ' 06/15 04:23\n', 'push-content': ': 二樓臺大周子瑜', 'push-userid': 'nacy204327'}, {'push-tag': '→ ', 'push-ipdatetime': ' 06/15 04:24\n', 'push-content': ': 三樓奶大又有腦', 'push-userid': 'nacy204327'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/03 22:33\n', 'push-content': ': 我要假+1', 'push-userid': 'HDSM'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/03 22:33\n', 'push-content': ': 推', 'push-userid': 'kjfd'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/03 22:35\n', 'push-content': ': 錢跟假才是真的', 'push-userid': 'dp44'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/03 22:35\n', 'push-content': ': 但七天假還了 資方要生氣氣 2020不捐錢給民進黨', 'push-userid': 'freeclouds'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/03 22:39\n', 'push-content': ': 光是吸菸議題就可以把民進黨打死了', 'push-userid': 'atobela'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/03 22:39\n', 'push-content': ': 民進黨本來就沒什麼人緣了。還有企業會捐款？', 'push-userid': 'a23633302'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/03 22:42\n', 'push-content': ': 另外長壽本來就老人才要抽  市佔差', 'push-userid': 'alvis000'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/03 22:44\n', 'push-content': ': 我好多年沒在711看到買長壽的了', 'push-userid': 'maxboy06'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/03 22:45\n', 'push-content': ': 直接送一堆假比較實在，搞東搞西2020繼續輸啦', 'push-userid': 'maiico'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/03 23:32\n', 'push-content': ': 冥禁洞是真白癡啊！', 'push-userid': 'loveapple33'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/04 01:19\n', 'push-content': ': 只要說認同柯屁支持柯屁就可以了', 'push-userid': 'guast'}]",14
Adobola (是阿布!!~~),Gossiping,Re: [新聞] 敗選檢討 蔡英文：給指教可更直接、更大,Sun Dec  2 11:36:45 2018,"[{'push-tag': '推 ', 'push-ipdatetime': ' 12/02 11:37\n', 'push-content': ': 垃圾母豬', 'push-userid': 'allenn'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/02 11:37\n', 'push-content': ': 你是不是記者寫稿', 'push-userid': 'cattgirl'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/02 11:37\n', 'push-content': ': 不知民間的富家女 2020還是下去吧', 'push-userid': 'kkjjrtlym'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/02 11:38\n', 'push-content': ': 表達人民的聲音是民主的本質 但是要不要做要看党的意思', 'push-userid': 'sazdj'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/02 11:38\n', 'push-content': ': 這篇去投報社稿領$500 你文采不錯', 'push-userid': 'cattgirl'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/02 11:39\n', 'push-content': ': 反觀KMT 學生在街上大聲就會被打的頭破血流wwww', 'push-userid': 'darknote'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/02 11:39\n', 'push-content': ': 不要讓我公雞變飼主', 'push-userid': 'bahamutuh'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/02 11:41\n', 'push-content': ': 幹話你認真就輸了', 'push-userid': 'diablo5566'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/02 11:43\n', 'push-content': ': http://0rz.tw/WuyCv  這非自創文喔！2017年5月份的新聞', 'push-userid': 'Js1233'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/02 11:47\n', 'push-content': ': 拒馬總統....談個屁民主？ 反省？', 'push-userid': 'bluecup'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/02 11:47\n', 'push-content': ': 干 引用要寫出處 不然是抄襲', 'push-userid': 'cattgirl'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/02 11:48\n', 'push-content': ': 問題是你根本有聽等於沒聽呀', 'push-userid': 'zp01'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/02 12:27\n', 'push-content': ':  https://i.imgur.com/32kN454.jpg', 'push-userid': 'sheagia'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/02 12:31\n', 'push-content': ': 裝聾的人會聽進去嗎？', 'push-userid': 'bjk3370'}]",14
mefenamic (mene),Gossiping,Re: [新聞] 蔡英文：給我們指教可以更直接、更大聲點,Sat Dec  1 17:46:55 2018,"[{'push-tag': '→ ', 'push-ipdatetime': ' 12/01 17:47\n', 'push-content': ': 喔 這兩個差在哪', 'push-userid': 'HiranoMiu'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/01 17:48\n', 'push-content': ': 這兩個差在哪？', 'push-userid': 'james732'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/01 17:48\n', 'push-content': ': 一下子就找到了，第十二個字筆劃不一樣', 'push-userid': 'dans'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/01 17:48\n', 'push-content': ': 是差在哪？', 'push-userid': 'AE59603AE'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/01 17:48\n', 'push-content': ': 笑死 現在教育訓練都還沒完就可以上工喔', 'push-userid': 'kkjjrtlym'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/01 17:48\n', 'push-content': ': .........', 'push-userid': 'charlie01'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/01 17:48\n', 'push-content': ': Chinese Taipei 跟Chinese Taipei的差別', 'push-userid': 'dp44'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/01 17:49\n', 'push-content': ': 《登入次數》682 次', 'push-userid': 'D600dust'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/01 17:49\n', 'push-content': ': 有梗!!', 'push-userid': 'illreal'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/01 17:50\n', 'push-content': ': 柯p批評後的下場我們都看到了', 'push-userid': 'HMDS'}, {'push-tag': '噓 ', 'push-ipdatetime': ' 12/01 17:59\n', 'push-content': ': 你在考驗大家是嗎？', 'push-userid': 'sonyvaio'}, {'push-tag': '推 ', 'push-ipdatetime': ' 12/01 18:06\n', 'push-content': ': 嘿嘿 第二個多一劃很多人眼殘看不出來', 'push-userid': 'abram'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/01 19:10\n', 'push-content': ': 前面那句有台灣價值，後面那句沒有', 'push-userid': 'AGIknight'}, {'push-tag': '→ ', 'push-ipdatetime': ' 12/01 19:11\n', 'push-content': ': 從語意就可以深刻感受到', 'push-userid': 'AGIknight'}]",14
moshenisshit (嘻嘻),Gossiping,Re: [ＦＢ] 蔡英文 - 關於以核養綠,Thu Nov 29 20:51:11 2018,"[{'push-tag': '推 ', 'push-ipdatetime': ' 11/29 20:54\n', 'push-content': ': 此篇正解。至於何時非核家園？不知道。菜講了這麼多，其實什', 'push-userid': 'HK97'}, {'push-tag': '→ ', 'push-ipdatetime': ' 11/29 20:54\n', 'push-content': ': 麼都沒講。', 'push-userid': 'HK97'}, {'push-tag': '→ ', 'push-ipdatetime': ' 11/29 20:55\n', 'push-content': ': 這是顯示雙方執行力和意志力…', 'push-userid': 'u9005205'}, {'push-tag': '→ ', 'push-ipdatetime': ' 11/29 20:56\n', 'push-content': ': 不用拖到2025 2020前沒拆核四就拒投國民兩黨', 'push-userid': 'monitor'}, {'push-tag': '→ ', 'push-ipdatetime': ' 11/29 20:56\n', 'push-content': ': 2025是民進黨自己要求自己的，不是外在要求的…', 'push-userid': 'u9005205'}, {'push-tag': '→ ', 'push-ipdatetime': ' 11/29 20:58\n', 'push-content': ': 反核仔哭哭', 'push-userid': 'a2550099'}, {'push-tag': '→ ', 'push-ipdatetime': ' 11/29 20:58\n', 'push-content': ': 公投已經過了，更要加快速度努力達成目標，不然就直接', 'push-userid': 'u9005205'}, {'push-tag': '→ ', 'push-ipdatetime': ' 11/29 20:58\n', 'push-content': ': 放棄政權…', 'push-userid': 'u9005205'}, {'push-tag': '推 ', 'push-ipdatetime': ' 11/29 20:58\n', 'push-content': ': 推 講了很多 但什麼都沒講。 又不是考前抽題 一個政府連', 'push-userid': 'ssisters'}, {'push-tag': '→ ', 'push-ipdatetime': ' 11/29 20:59\n', 'push-content': ': 每項公投可能的結果的應變方案都沒想過 真把公投當民調.', 'push-userid': 'ssisters'}, {'push-tag': '→ ', 'push-ipdatetime': ' 11/29 21:03\n', 'push-content': ': 馬英九還知道下鄉long stay,蔡英文要為自己承諾的政見去', 'push-userid': 'u9005205'}, {'push-tag': '→ ', 'push-ipdatetime': ' 11/29 21:03\n', 'push-content': ': 盯場了…', 'push-userid': 'u9005205'}, {'push-tag': '→ ', 'push-ipdatetime': ' 11/29 21:04\n', 'push-content': ': 那些立委都自身難保，別指望了…', 'push-userid': 'u9005205'}, {'push-tag': '→ ', 'push-ipdatetime': ' 11/29 21:10\n', 'push-content': ': 我是人 我用愛發電', 'push-userid': 'machiusheng'}]",14
